date,open,high,low,close,volume,returns,volatility_20d,cum_returns,rolling_max,drawdown,vol_state,risk_regime,risk_signal,hmm_state
2010-02-02,4907.85009765625,4951.14990234375,4814.10009765625,4830.10009765625,0,-0.014204970688377228,0.16067227387782418,0.9231489463999313,1.00947968493626,-0.08552003554363723,High Volatility,Medium Risk,NEUTRAL,2
2010-02-03,4831.0,4949.14990234375,4831.0,4931.85009765625,0,0.02106581601680957,0.17854359221590954,0.9425958322609038,1.00947968493626,-0.06625576886134095,High Volatility,Medium Risk,NEUTRAL,2
2010-02-04,4931.2998046875,4931.2998046875,4832.35009765625,4845.35009765625,0,-0.017539057004410386,0.18470838798007314,0.9260635902267602,1.00947968493626,-0.0826327621588212,High Volatility,Medium Risk,NEUTRAL,2
2010-02-05,4819.64990234375,4827.0,4692.35009765625,4718.64990234375,0,-0.026148821603992345,0.20034724541208304,0.901848118611968,1.00947968493626,-0.10662083440647739,High Volatility,Medium Risk,NEUTRAL,2
2010-02-08,4755.35009765625,4799.0498046875,4675.39990234375,4760.39990234375,0,0.008847869806840825,0.2065714838326893,0.9098275533509911,1.00947968493626,-0.09871633186116177,High Volatility,Medium Risk,NEUTRAL,2
2010-02-09,4760.5498046875,4810.39990234375,4739.35009765625,4792.64990234375,0,0.006774640925465425,0.2097362437134275,0.9159913083290387,1.00947968493626,-0.09261045863753484,High Volatility,Medium Risk,NEUTRAL,2
2010-02-10,4793.0,4826.85009765625,4748.10009765625,4757.2001953125,0,-0.0073966819512341075,0.2097301232304568,0.909216011951234,1.00947968493626,-0.09932213048086919,High Volatility,Medium Risk,NEUTRAL,2
2010-02-11,4757.25,4843.7998046875,4757.25,4826.85009765625,0,0.014640944144494794,0.21837400419713432,0.9225277927974923,1.00947968493626,-0.08613535610105706,High Volatility,Medium Risk,NEUTRAL,2
2010-02-15,4827.89990234375,4845.60009765625,4783.89990234375,4801.9501953125,0,-0.005158623499793458,0.21583855086896586,0.9177688192463546,1.00947968493626,-0.09084963972870454,High Volatility,Medium Risk,NEUTRAL,2
2010-02-16,4801.7998046875,4880.0,4791.35009765625,4855.75,0,0.011203740667701467,0.22274092928196315,0.9280512630900933,1.00947968493626,-0.08066375486427756,High Volatility,Medium Risk,NEUTRAL,2
2010-02-17,4858.64990234375,4929.7001953125,4857.60009765625,4914.0,0,0.011996087113216314,0.22806890696118629,0.9391842468876526,1.00947968493626,-0.0696353171812922,High Volatility,Medium Risk,NEUTRAL,2
2010-02-18,4915.10009765625,4922.0498046875,4873.7001953125,4887.75,0,-0.005341880341880323,0.22714085291931257,0.9341672370217997,1.00947968493626,-0.0746052139912212,High Volatility,Medium Risk,NEUTRAL,2
2010-02-19,4887.2998046875,4887.2998046875,4805.5498046875,4844.89990234375,0,-0.008766834976471793,0.2277584870066825,0.9259775470144029,1.00947968493626,-0.08271799736824764,High Volatility,Medium Risk,NEUTRAL,2
2010-02-22,4849.35009765625,4912.0498046875,4845.89990234375,4856.39990234375,0,0.0023736300505272645,0.2148159054828445,0.9281754751461099,1.00947968493626,-0.08054070924199305,High Volatility,Medium Risk,NEUTRAL,0
2010-02-23,4856.60009765625,4884.10009765625,4833.14990234375,4870.0498046875,0,0.002810703940827164,0.21273438996117458,0.9307843016118822,1.00947968493626,-0.07795638139002936,High Volatility,Medium Risk,NEUTRAL,0
2010-02-24,4869.5498046875,4880.5498046875,4834.64990234375,4858.60009765625,0,-0.0023510451618440342,0.21223900436329526,0.9285959856828572,1.00947968493626,-0.08012414757857152,High Volatility,Medium Risk,NEUTRAL,0
2010-02-25,4859.0,4880.14990234375,4835.60009765625,4859.75,0,0.00023667359334722526,0.18140734732161282,0.9288157598315565,1.00947968493626,-0.07990643725514564,High Volatility,Medium Risk,NEUTRAL,0
2010-02-26,4858.5,4992.0,4858.4501953125,4922.2998046875,0,0.012870992270692883,0.1867962648477132,0.9407705402972462,1.00947968493626,-0.06806392012074239,High Volatility,Medium Risk,NEUTRAL,0
2010-03-02,4935.60009765625,5029.4501953125,4935.35009765625,5017.0,0,0.01923901409302964,0.19807926443271917,0.958870037980332,1.00947968493626,-0.050134388746142546,High Volatility,Medium Risk,NEUTRAL,0
2010-03-03,5015.7998046875,5093.25,5015.10009765625,5088.10009765625,0,0.014171835291259649,0.20309883402822504,0.9724589862243131,1.00947968493626,-0.036673049754621205,High Volatility,Medium Risk,NEUTRAL,0
2010-03-04,5096.9501953125,5096.9501953125,5049.0,5080.25,0,-0.001542834752772615,0.19451920224555272,0.9709586427047202,1.00947968493626,-0.038159304051742275,High Volatility,Medium Risk,NEUTRAL,0
2010-03-05,5080.5498046875,5118.64990234375,5068.0498046875,5088.7001953125,0,0.0016633424167118438,0.18187026842223858,0.9725736794000039,1.00947968493626,-0.03655943362405188,High Volatility,Medium Risk,NEUTRAL,0
2010-03-08,5092.14990234375,5147.10009765625,5092.14990234375,5124.0,0,0.0069369000594723396,0.16786897634414044,0.979320325814475,1.00947968493626,-0.029876142701860533,High Volatility,Medium Risk,NEUTRAL,0
